"","p.value","HR (95% CI for HR)"
"SLC12A1","0.0963","0.846 (0.694-1.03)"
"CUX2","0.899","0.99 (0.854-1.15)"
"CHRNA4","0.0807","1.19 (0.979-1.44)"
"CCDC22","0.16","1.15 (0.947-1.39)"
"SREBF1","0.0299","1.17 (1.02-1.34)"
"ECI2","0.0145","0.79 (0.654-0.954)"
"RPS27","0.753","1.03 (0.876-1.2)"
"TP63","0.742","0.966 (0.787-1.19)"
"CD163","0.0679","1.09 (0.994-1.2)"
"SLCO2B1","0.0483","1.1 (1-1.21)"
"TF","0.614","0.866 (0.494-1.52)"
"CCND2","0.728","1.01 (0.939-1.09)"
"CSF1R","0.103","1.08 (0.985-1.18)"
"CSF2RB","0.753","1.02 (0.902-1.15)"
"APOA1","0.166","0.963 (0.912-1.02)"
"ITGAX","0.957","0.997 (0.878-1.13)"
"CLDN19","0.279","1.05 (0.96-1.15)"
"CYP1A2","0.15","1.09 (0.969-1.23)"
"IL7R","0.381","0.953 (0.855-1.06)"
"SCD","0.462","1.04 (0.943-1.14)"
"NLRP3","0.242","1.12 (0.928-1.35)"
"SLC12A3","0.625","1.09 (0.776-1.52)"
"RBFOX3","0.154","1.21 (0.931-1.58)"
"TLR2","0.124","1.11 (0.971-1.27)"
"SLC34A2","0.36","1.04 (0.957-1.13)"
"BMP6","0.557","0.968 (0.869-1.08)"
"ITGB3","0.576","0.97 (0.873-1.08)"
"TYMP","0.915","0.995 (0.901-1.1)"
"DRD2","0.257","0.931 (0.823-1.05)"
"RPS18","0.776","1.02 (0.881-1.19)"
"IL4R","0.371","1.05 (0.941-1.18)"
"FGF8","0.14","1.23 (0.935-1.62)"
"MRC1","0.0688","1.11 (0.992-1.24)"
"ADH1C","0.0675","1.13 (0.991-1.29)"
"GRIN2B","0.275","1.73 (0.647-4.62)"
"RPS28","0.662","1.03 (0.899-1.18)"
"BSND","0.45","1.12 (0.834-1.5)"
"SGCG","0.737","0.982 (0.882-1.09)"
"INPP5D","0.401","1.05 (0.935-1.18)"
"GRIN2A","0.423","0.959 (0.864-1.06)"
"SLC16A9","0.381","0.961 (0.881-1.05)"
"MEFV","0.709","1.07 (0.738-1.56)"
"CFI","0.0173","0.858 (0.756-0.973)"
"HPGD","0.0626","0.936 (0.874-1)"
"GPX5","0.171","0.527 (0.211-1.32)"
"ITLN1","0.368","0.956 (0.868-1.05)"
"SCG5","0.861","1.01 (0.932-1.09)"
"FREM2","0.289","0.892 (0.721-1.1)"
"SLC7A4","0.22","1.06 (0.966-1.16)"
"SPP1","0.184","1.07 (0.969-1.18)"
"GCK","0.821","1.01 (0.899-1.14)"
"FN1","0.262","1.04 (0.972-1.11)"
"FBN1","0.157","1.07 (0.975-1.17)"
"CBX2","0.057","0.907 (0.82-1)"
"NOG","0.734","1.02 (0.917-1.13)"
"SIX3","0.22","0.96 (0.9-1.02)"
"IGF2BP1","0.312","1.06 (0.944-1.2)"
"ABCC3","0.014","1.15 (1.03-1.29)"
"TAC1","0.851","1.02 (0.854-1.21)"
"PON3","0.088","0.911 (0.819-1.01)"
"COL5A1","0.37","1.03 (0.964-1.1)"
"ALDH3A1","0.116","1.1 (0.978-1.23)"
"NGFR","0.00974","1.13 (1.03-1.24)"
"PPP1R3C","0.113","1.1 (0.978-1.23)"
"NKX2-1","0.575","1.05 (0.88-1.26)"
"SMYD1","0.298","0.727 (0.4-1.32)"
"CRABP1","0.101","0.963 (0.92-1.01)"
"ACE2","0.0567","0.414 (0.167-1.03)"
"FOXA1","0.717","0.984 (0.9-1.08)"
"ESRRB","0.524","1.07 (0.874-1.3)"
"COL6A3","0.555","1.02 (0.946-1.11)"
"PCSK9","0.196","1.11 (0.947-1.3)"
"NR0B1","0.901","1.01 (0.894-1.14)"
