p.value,HR (95% CI for HR)
0.0203,1.13 (1.02-1.25)
0.00749,1.17 (1.04-1.32)
0.0394,1.14 (1.01-1.29)
0.0206,0.86 (0.757-0.977)
0.00844,1.2 (1.05-1.37)
0.0117,1.19 (1.04-1.37)
0.00696,0.827 (0.72-0.949)
0.0332,1.18 (1.01-1.38)
0.0276,0.849 (0.734-0.982)
0.00418,1.27 (1.08-1.5)
0.0103,1.23 (1.05-1.44)
0.0164,0.808 (0.678-0.962)
0.0123,1.22 (1.04-1.43)
0.0298,1.2 (1.02-1.41)
0.0249,0.818 (0.686-0.975)
0.0435,1.19 (1.01-1.41)
0.00502,0.771 (0.643-0.925)
0.045,1.18 (1-1.39)
0.00128,1.36 (1.13-1.64)
0.0261,1.24 (1.03-1.51)
0.0498,1.22 (1-1.49)
0.0177,0.781 (0.637-0.958)
0.00699,1.29 (1.07-1.55)
0.0215,1.25 (1.03-1.5)
0.0126,0.754 (0.605-0.941)
0.0193,0.783 (0.638-0.961)
0.007,1.29 (1.07-1.55)
0.0491,0.8 (0.641-0.999)
0.00347,1.34 (1.1-1.63)
0.000552,0.68 (0.547-0.846)
0.044,1.26 (1.01-1.57)
0.0245,1.25 (1.03-1.52)
0.0409,1.24 (1.01-1.52)
0.000195,0.638 (0.503-0.808)
0.0454,0.792 (0.631-0.995)
0.00419,1.4 (1.11-1.75)
0.0351,1.23 (1.01-1.5)
0.00987,1.33 (1.07-1.64)
0.0102,0.724 (0.565-0.926)
0.00366,1.33 (1.1-1.62)
0.0486,1.27 (1-1.62)
0.0278,1.26 (1.03-1.54)
0.00388,1.45 (1.13-1.86)
0.0173,1.29 (1.05-1.59)
0.00524,1.33 (1.09-1.63)
