original_id,ensembl_id,formatted_exposure_id
ABCC3,ENSG00000108846,eqtl-a-ENSG00000108846
ACACA,ENSG00000278540,eqtl-a-ENSG00000278540
ACACA,ENSG00000275176,eqtl-a-ENSG00000275176
ACADS,ENSG00000122971,eqtl-a-ENSG00000122971
ACLY,ENSG00000131473,eqtl-a-ENSG00000131473
ACOT13,ENSG00000112304,eqtl-a-ENSG00000112304
AHR,ENSG00000106546,eqtl-a-ENSG00000106546
CAV1,ENSG00000105974,eqtl-a-ENSG00000105974
CCNC,ENSG00000112237,eqtl-a-ENSG00000112237
CERS4,ENSG00000090661,eqtl-a-ENSG00000090661
CIDEA,ENSG00000176194,eqtl-a-ENSG00000176194
CYP2C19,ENSG00000165841,eqtl-a-ENSG00000165841
CYP3A4,ENSG00000160868,eqtl-a-ENSG00000160868
CYP7A1,ENSG00000167910,eqtl-a-ENSG00000167910
DGAT1,ENSG00000185000,eqtl-a-ENSG00000185000
DGAT1,ENSG00000285482,eqtl-a-ENSG00000285482
DHCR24,ENSG00000116133,eqtl-a-ENSG00000116133
ELOVL1,ENSG00000066322,eqtl-a-ENSG00000066322
ELOVL6,ENSG00000170522,eqtl-a-ENSG00000170522
FABP3,ENSG00000121769,eqtl-a-ENSG00000121769
FABP4,ENSG00000170323,eqtl-a-ENSG00000170323
FADS2,ENSG00000134824,eqtl-a-ENSG00000134824
FASN,ENSG00000169710,eqtl-a-ENSG00000169710
FDFT1,ENSG00000079459,eqtl-a-ENSG00000079459
FDFT1,ENSG00000284967,eqtl-a-ENSG00000284967
FDPS,ENSG00000160752,eqtl-a-ENSG00000160752
GC,ENSG00000145321,eqtl-a-ENSG00000145321
GGT1,ENSG00000100031,eqtl-a-ENSG00000100031
GPAM,ENSG00000119927,eqtl-a-ENSG00000119927
GPX1,ENSG00000233276,eqtl-a-ENSG00000233276
HADHA,ENSG00000084754,eqtl-a-ENSG00000084754
HMGCR,ENSG00000113161,eqtl-a-ENSG00000113161
HSD17B1,ENSG00000108786,eqtl-a-ENSG00000108786
INSIG1,ENSG00000186480,eqtl-a-ENSG00000186480
INSIG2,ENSG00000125629,eqtl-a-ENSG00000125629
LIPE,ENSG00000079435,eqtl-a-ENSG00000079435
MBOAT7,ENSG00000125505,eqtl-a-ENSG00000125505
MBOAT7,ENSG00000277733,eqtl-a-ENSG00000277733
MBOAT7,ENSG00000277025,eqtl-a-ENSG00000277025
MBOAT7,ENSG00000278519,eqtl-a-ENSG00000278519
MBOAT7,ENSG00000277923,eqtl-a-ENSG00000277923
MBOAT7,ENSG00000278322,eqtl-a-ENSG00000278322
MBOAT7,ENSG00000276935,eqtl-a-ENSG00000276935
MBOAT7,ENSG00000275118,eqtl-a-ENSG00000275118
MBOAT7,ENSG00000273592,eqtl-a-ENSG00000273592
MBOAT7,ENSG00000274194,eqtl-a-ENSG00000274194
NR1H2,ENSG00000131408,eqtl-a-ENSG00000131408
PIK3R1,ENSG00000145675,eqtl-a-ENSG00000145675
PPARGC1A,ENSG00000109819,eqtl-a-ENSG00000109819
PPP1CA,ENSG00000172531,eqtl-a-ENSG00000172531
PPP1CB,ENSG00000213639,eqtl-a-ENSG00000213639
PRKAB2,ENSG00000131791,eqtl-a-ENSG00000131791
PTGS2,ENSG00000073756,eqtl-a-ENSG00000073756
RORA,ENSG00000069667,eqtl-a-ENSG00000069667
SCD,ENSG00000099194,eqtl-a-ENSG00000099194
SGPP1,ENSG00000126821,eqtl-a-ENSG00000126821
SGPP1,ENSG00000285281,eqtl-a-ENSG00000285281
SMPD1,ENSG00000166311,eqtl-a-ENSG00000166311
SMPD3,ENSG00000103056,eqtl-a-ENSG00000103056
SPHK1,ENSG00000176170,eqtl-a-ENSG00000176170
SREBF1,ENSG00000072310,eqtl-a-ENSG00000072310
SREBF2,ENSG00000198911,eqtl-a-ENSG00000198911
TSPO,ENSG00000100300,eqtl-a-ENSG00000100300
TXNRD1,ENSG00000198431,eqtl-a-ENSG00000198431
