"Exposure","Outcome","MR_PRESSO_global_p","n_outliers","outlier_snps","outlier_corrected_beta","outlier_corrected_se","outlier_corrected_p"
"ENSG00000072310","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000122971","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000131791","Nonalcoholic fatty liver disease","0.947",0,NA,NA,NA,NA
"ENSG00000185000","Nonalcoholic fatty liver disease","0.999",0,NA,NA,NA,NA
"ENSG00000073756","Nonalcoholic fatty liver disease","0.308",0,NA,NA,NA,NA
"ENSG00000169710","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000108786","Nonalcoholic fatty liver disease","0.985",0,NA,NA,NA,NA
"ENSG00000100031","Nonalcoholic fatty liver disease","0.997",0,NA,NA,NA,NA
"ENSG00000134824","Nonalcoholic fatty liver disease","0.942",0,NA,NA,NA,NA
"ENSG00000100300","Nonalcoholic fatty liver disease","0.982",0,NA,NA,NA,NA
"ENSG00000131473","Nonalcoholic fatty liver disease","0.036",0,NA,NA,NA,NA
"ENSG00000112237","Nonalcoholic fatty liver disease","0.022",0,NA,NA,NA,NA
"ENSG00000145675","Nonalcoholic fatty liver disease","0.999",0,NA,NA,NA,NA
"ENSG00000198431","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000079459","Nonalcoholic fatty liver disease","0.996",0,NA,NA,NA,NA
"ENSG00000112304","Nonalcoholic fatty liver disease","0.868",0,NA,NA,NA,NA
"ENSG00000109819","Nonalcoholic fatty liver disease","0.756",0,NA,NA,NA,NA
"ENSG00000126821","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000166311","Nonalcoholic fatty liver disease","0.885",0,NA,NA,NA,NA
"ENSG00000090661","Nonalcoholic fatty liver disease","0.788",0,NA,NA,NA,NA
"ENSG00000106546","Nonalcoholic fatty liver disease","0.989",0,NA,NA,NA,NA
"ENSG00000079435","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000125505","Nonalcoholic fatty liver disease","0.201",0,NA,NA,NA,NA
"ENSG00000084754","Nonalcoholic fatty liver disease","0.767",0,NA,NA,NA,NA
"ENSG00000198911","Nonalcoholic fatty liver disease","0.923",0,NA,NA,NA,NA
"ENSG00000233276","Nonalcoholic fatty liver disease","0.902",0,NA,NA,NA,NA
"ENSG00000121769","Nonalcoholic fatty liver disease","0.984",0,NA,NA,NA,NA
"ENSG00000099194","Nonalcoholic fatty liver disease","0.528",0,NA,NA,NA,NA
"ENSG00000066322","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000105974","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000170522","Nonalcoholic fatty liver disease","0.459",0,NA,NA,NA,NA
"ENSG00000069667","Nonalcoholic fatty liver disease","0.763",0,NA,NA,NA,NA
"ENSG00000131408","Nonalcoholic fatty liver disease","0.896",0,NA,NA,NA,NA
"ENSG00000172531","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000108846","Nonalcoholic fatty liver disease","0.001",0,NA,NA,NA,NA
"ENSG00000119927","Nonalcoholic fatty liver disease","0.986",0,NA,NA,NA,NA
"ENSG00000160752","Nonalcoholic fatty liver disease","0.909",0,NA,NA,NA,NA
"ENSG00000103056","Nonalcoholic fatty liver disease","0.969",0,NA,NA,NA,NA
"ENSG00000116133","Nonalcoholic fatty liver disease","0.954",0,NA,NA,NA,NA
"ENSG00000113161","Nonalcoholic fatty liver disease","1",0,NA,NA,NA,NA
"ENSG00000186480","Nonalcoholic fatty liver disease","0.229",0,NA,NA,NA,NA
"ENSG00000125629","Nonalcoholic fatty liver disease","<0.001",0,NA,NA,NA,NA
"ENSG00000176170","Nonalcoholic fatty liver disease","0.235",0,NA,NA,NA,NA
"ENSG00000213639","Nonalcoholic fatty liver disease","0.745",0,NA,NA,NA,NA
