original_id,ensembl_id,formatted_exposure_id
ENSG00000108846,ENSG00000108846,eqtl-a-ENSG00000108846
ENSG00000278540,ENSG00000278540,eqtl-a-ENSG00000278540
ENSG00000275176,ENSG00000275176,eqtl-a-ENSG00000275176
ENSG00000122971,ENSG00000122971,eqtl-a-ENSG00000122971
ENSG00000131473,ENSG00000131473,eqtl-a-ENSG00000131473
ENSG00000112304,ENSG00000112304,eqtl-a-ENSG00000112304
ENSG00000106546,ENSG00000106546,eqtl-a-ENSG00000106546
ENSG00000105974,ENSG00000105974,eqtl-a-ENSG00000105974
ENSG00000112237,ENSG00000112237,eqtl-a-ENSG00000112237
ENSG00000090661,ENSG00000090661,eqtl-a-ENSG00000090661
ENSG00000176194,ENSG00000176194,eqtl-a-ENSG00000176194
ENSG00000165841,ENSG00000165841,eqtl-a-ENSG00000165841
ENSG00000160868,ENSG00000160868,eqtl-a-ENSG00000160868
ENSG00000167910,ENSG00000167910,eqtl-a-ENSG00000167910
ENSG00000185000,ENSG00000185000,eqtl-a-ENSG00000185000
ENSG00000285482,ENSG00000285482,eqtl-a-ENSG00000285482
ENSG00000116133,ENSG00000116133,eqtl-a-ENSG00000116133
ENSG00000066322,ENSG00000066322,eqtl-a-ENSG00000066322
ENSG00000170522,ENSG00000170522,eqtl-a-ENSG00000170522
ENSG00000121769,ENSG00000121769,eqtl-a-ENSG00000121769
ENSG00000170323,ENSG00000170323,eqtl-a-ENSG00000170323
ENSG00000134824,ENSG00000134824,eqtl-a-ENSG00000134824
ENSG00000169710,ENSG00000169710,eqtl-a-ENSG00000169710
ENSG00000079459,ENSG00000079459,eqtl-a-ENSG00000079459
ENSG00000284967,ENSG00000284967,eqtl-a-ENSG00000284967
ENSG00000160752,ENSG00000160752,eqtl-a-ENSG00000160752
ENSG00000145321,ENSG00000145321,eqtl-a-ENSG00000145321
ENSG00000100031,ENSG00000100031,eqtl-a-ENSG00000100031
ENSG00000119927,ENSG00000119927,eqtl-a-ENSG00000119927
ENSG00000233276,ENSG00000233276,eqtl-a-ENSG00000233276
ENSG00000084754,ENSG00000084754,eqtl-a-ENSG00000084754
ENSG00000113161,ENSG00000113161,eqtl-a-ENSG00000113161
ENSG00000108786,ENSG00000108786,eqtl-a-ENSG00000108786
ENSG00000186480,ENSG00000186480,eqtl-a-ENSG00000186480
ENSG00000125629,ENSG00000125629,eqtl-a-ENSG00000125629
ENSG00000079435,ENSG00000079435,eqtl-a-ENSG00000079435
ENSG00000125505,ENSG00000125505,eqtl-a-ENSG00000125505
ENSG00000277733,ENSG00000277733,eqtl-a-ENSG00000277733
ENSG00000277025,ENSG00000277025,eqtl-a-ENSG00000277025
ENSG00000278519,ENSG00000278519,eqtl-a-ENSG00000278519
ENSG00000277923,ENSG00000277923,eqtl-a-ENSG00000277923
ENSG00000278322,ENSG00000278322,eqtl-a-ENSG00000278322
ENSG00000276935,ENSG00000276935,eqtl-a-ENSG00000276935
ENSG00000275118,ENSG00000275118,eqtl-a-ENSG00000275118
ENSG00000273592,ENSG00000273592,eqtl-a-ENSG00000273592
ENSG00000274194,ENSG00000274194,eqtl-a-ENSG00000274194
ENSG00000131408,ENSG00000131408,eqtl-a-ENSG00000131408
ENSG00000145675,ENSG00000145675,eqtl-a-ENSG00000145675
ENSG00000109819,ENSG00000109819,eqtl-a-ENSG00000109819
ENSG00000172531,ENSG00000172531,eqtl-a-ENSG00000172531
ENSG00000213639,ENSG00000213639,eqtl-a-ENSG00000213639
ENSG00000131791,ENSG00000131791,eqtl-a-ENSG00000131791
ENSG00000073756,ENSG00000073756,eqtl-a-ENSG00000073756
ENSG00000069667,ENSG00000069667,eqtl-a-ENSG00000069667
ENSG00000099194,ENSG00000099194,eqtl-a-ENSG00000099194
ENSG00000126821,ENSG00000126821,eqtl-a-ENSG00000126821
ENSG00000285281,ENSG00000285281,eqtl-a-ENSG00000285281
ENSG00000166311,ENSG00000166311,eqtl-a-ENSG00000166311
ENSG00000103056,ENSG00000103056,eqtl-a-ENSG00000103056
ENSG00000176170,ENSG00000176170,eqtl-a-ENSG00000176170
ENSG00000072310,ENSG00000072310,eqtl-a-ENSG00000072310
ENSG00000198911,ENSG00000198911,eqtl-a-ENSG00000198911
ENSG00000100300,ENSG00000100300,eqtl-a-ENSG00000100300
ENSG00000198431,ENSG00000198431,eqtl-a-ENSG00000198431
