"Exposure","Outcome","IVW_significant","Directionality_significant","Pleiotropy_pass","Three_filter_pass"
"ENSG00000072310","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000122971","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000131791","Nonalcoholic fatty liver disease","YES","YES","NO","NO"
"ENSG00000185000","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000073756","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000169710","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000108786","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000100031","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000134824","Nonalcoholic fatty liver disease","YES","YES","NO","NO"
"ENSG00000100300","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000131473","Nonalcoholic fatty liver disease","YES","YES","NO","NO"
"ENSG00000112237","Nonalcoholic fatty liver disease","YES","YES","NO","NO"
"ENSG00000145675","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000198431","Nonalcoholic fatty liver disease","YES","YES","NO","NO"
"ENSG00000079459","Nonalcoholic fatty liver disease","YES","NO","NO","NO"
"ENSG00000112304","Nonalcoholic fatty liver disease","YES","YES","YES","YES"
"ENSG00000109819","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000126821","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000166311","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000090661","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000106546","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000079435","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000125505","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000084754","Nonalcoholic fatty liver disease","NO","YES","NO","NO"
"ENSG00000198911","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000233276","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000121769","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000099194","Nonalcoholic fatty liver disease","NO","YES","NO","NO"
"ENSG00000066322","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000105974","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000170522","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000069667","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000131408","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000172531","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000108846","Nonalcoholic fatty liver disease","NO","YES","NO","NO"
"ENSG00000119927","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000160752","Nonalcoholic fatty liver disease","NO","YES","NO","NO"
"ENSG00000103056","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000116133","Nonalcoholic fatty liver disease","NO","YES","NO","NO"
"ENSG00000113161","Nonalcoholic fatty liver disease","NO","YES","NO","NO"
"ENSG00000186480","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000125629","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000176170","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
"ENSG00000213639","Nonalcoholic fatty liver disease","NO","YES","YES","NO"
