"exposure","outcome","Method","Heterogeneity_Q","Q_df","Q_P.value","Egger_intercept","SE","P.value"
"ADAM28","ebi-a-GCST90018894","MR Egger","48.77","58","0.8008","-0.003542","0.010185","0.729244"
"","ebi-a-GCST90018894","IVW","48.891","59","0.8232","","",""
"ADM","ebi-a-GCST90018894","MR Egger","65.1244","100","0.9973","0.016928","0.005034","0.00109598"
"","ebi-a-GCST90018894","IVW","76.4299","101","0.9675","","",""
"ALAS2","ebi-a-GCST90018894","MR Egger","4.463","18","0.9995","0.027032","0.028953","0.362848"
"","ebi-a-GCST90018894","IVW","5.3347","19","0.9991","","",""
"ALPL","ebi-a-GCST90018894","MR Egger","17.9328","38","0.9977","0.001045","0.013063","0.93668"
"","ebi-a-GCST90018894","IVW","17.9392","39","0.9985","","",""
"ANK1","ebi-a-GCST90018894","MR Egger","47.955","45","0.3539","0.038782","0.014898","0.0124648"
"","ebi-a-GCST90018894","IVW","55.1767","46","0.1665","","",""
"","ebi-a-GCST90018894","IVW","0.4895","1","0.4841","","",""
"","ebi-a-GCST90018894","IVW","0.6976","1","0.4036","","",""
"ASGR2","ebi-a-GCST90018894","MR Egger","66.9762","101","0.9964","-0.008196","0.006252","0.192817"
"","ebi-a-GCST90018894","IVW","68.695","102","0.9953","","",""
"AZU1","ebi-a-GCST90018894","MR Egger","5.5356","11","0.9025","0.03902","0.035479","0.294902"
"","ebi-a-GCST90018894","IVW","6.7452","12","0.874","","",""
"BACE2","ebi-a-GCST90018894","MR Egger","8.5412","16","0.9311","0.02356","0.016053","0.161592"
"","ebi-a-GCST90018894","IVW","10.6951","17","0.872","","",""
"BCAM","ebi-a-GCST90018894","MR Egger","4.0688","6","0.6674","-0.03267","0.046479","0.508453"
"","ebi-a-GCST90018894","IVW","4.5629","7","0.7131","","",""
"BPI","ebi-a-GCST90018894","MR Egger","97.9449","102","0.5952","-0.011317","0.006273","0.0741416"
"","ebi-a-GCST90018894","IVW","101.2003","103","0.5317","","",""
"C1QB","ebi-a-GCST90018894","MR Egger","69.6484","68","0.4218","0.022373","0.006416","0.000859718"
"","ebi-a-GCST90018894","IVW","82.1049","69","0.134","","",""
"CAMP","ebi-a-GCST90018894","MR Egger","17.1806","15","0.3082","-0.019546","0.025365","0.452911"
"","ebi-a-GCST90018894","IVW","17.8608","16","0.3321","","",""
"CAPZA2","ebi-a-GCST90018894","MR Egger","87.7643","98","0.7612","-0.043051","0.007545","1.23361e-07"
"","ebi-a-GCST90018894","IVW","120.3169","99","0.0715","","",""
"CD226","ebi-a-GCST90018894","MR Egger","63.3169","79","0.901","-0.003711","0.008151","0.650172"
"","ebi-a-GCST90018894","IVW","63.5242","80","0.9116","","",""
"CEACAM6","ebi-a-GCST90018894","MR Egger","16.2165","29","0.973","0.015734","0.01367","0.259127"
"","ebi-a-GCST90018894","IVW","17.5413","30","0.9655","","",""
"CEACAM8","ebi-a-GCST90018894","MR Egger","20.2941","29","0.8836","0.006483","0.014937","0.667491"
"","ebi-a-GCST90018894","IVW","20.4824","30","0.9034","","",""
"CENPM","ebi-a-GCST90018894","MR Egger","34.1329","81","1","-0.030791","0.01042","0.00409292"
"","ebi-a-GCST90018894","IVW","42.865","82","0.9999","","",""
"CHI3L1","ebi-a-GCST90018894","MR Egger","47.3889","67","0.9668","0.00225","0.006804","0.741898"
"","ebi-a-GCST90018894","IVW","47.4983","68","0.9723","","",""
"CHIT1","ebi-a-GCST90018894","MR Egger","9.5859","17","0.9201","0.02416","0.022682","0.301698"
