"exposure","outcome","Method","Heterogeneity_Q","Q_df","Q_P.value","Egger_intercept","SE","P.value"
"ACOT13","ebi-a-GCST90091033","Inverse variance weighted",1.6487,1,"0.1991",NA,NA,NA
"ACOT13","ebi-a-GCST90091033","MR Egger",NA,NA,NA,NA,NA,"NA"
"GGT1","ebi-a-GCST90091033","MR Egger",13.4302,19,"0.8158",NA,NA,NA
"GGT1","ebi-a-GCST90091033","Inverse variance weighted",14.2052,20,"0.8199",NA,NA,NA
"GGT1","ebi-a-GCST90091033","MR Egger",NA,NA,NA,0.008405,0.009547,"0.3897"
"SMPD1","ebi-a-GCST90091033","MR Egger",27.508,23,"0.235",NA,NA,NA
"SMPD1","ebi-a-GCST90091033","Inverse variance weighted",27.6185,24,"0.2765",NA,NA,NA
"SMPD1","ebi-a-GCST90091033","MR Egger",NA,NA,NA,0.004032,0.013262,"0.7639"
"FABP3","ebi-a-GCST90091033","MR Egger",3.9969,3,"0.2618",NA,NA,NA
"FABP3","ebi-a-GCST90091033","Inverse variance weighted",4.012,4,"0.4044",NA,NA,NA
"FABP3","ebi-a-GCST90091033","MR Egger",NA,NA,NA,-0.003961,0.037227,"0.922"
"GC","ebi-a-GCST90091033","MR Egger",68.1446,57,"0.1482",NA,NA,NA
"GC","ebi-a-GCST90091033","Inverse variance weighted",69.3954,58,"0.1453",NA,NA,NA
"GC","ebi-a-GCST90091033","MR Egger",NA,NA,NA,0.006451,0.006306,"0.3107"
"FABP4","ebi-a-GCST90091033","Inverse variance weighted",0.0201,1,"0.8872",NA,NA,NA
"FABP4","ebi-a-GCST90091033","MR Egger",NA,NA,NA,NA,NA,"NA"
