"Exposure","Outcome","Method","n_SNPs","beta","se","pval","or","or_lci","or_uci"
"ukb d 20480","finn-b-TRAUMBRAIN_NONCONCUS","Inverse variance weighted (fixed effects)",27,1.39088712977836,1.12449680083012,0.216125188471891,4.01841332634113,0.443469345179209,36.412089892686
"ukb d 20480","finn-b-TRAUMBRAIN_NONCONCUS","MR Egger",27,-0.155935290718585,1.99967317429296,0.938464443388488,0.855614554782712,0.0169872075996025,43.0957390768067
"ukb d 20480","finn-b-TRAUMBRAIN_NONCONCUS","Weighted median",27,0.338909308706709,1.52297012804382,0.823899908314135,1.40341606182339,0.0709264295806969,27.7692907175454
"ukb d 20480","finn-b-TRAUMBRAIN_NONCONCUS","Weighted mode",27,-0.180837609341594,2.75628466306304,0.948190855242067,0.834570874206014,0.003760679766548,185.208150470182
"ukb d 20480","finn-b-TRAUMBRAIN_NONCONCUS","Simple mode",27,-0.0437326668533267,2.42184856851397,0.985730799221399,0.957209817184086,0.00830783809384097,110.287492818722
"ukb e 20523 AFR","finn-b-TRAUMBRAIN_NONCONCUS","Inverse variance weighted (fixed effects)",11,0.0890251842384542,0.0318322297540358,0.00516275103083727,1.09310818507687,1.02699186924661,1.16348097785683
"ukb e 20523 AFR","finn-b-TRAUMBRAIN_NONCONCUS","MR Egger",11,0.0882095331899274,0.06736708121118,0.222842724531708,1.09221695375585,0.957116705174214,1.24638705773564
"ukb e 20523 AFR","finn-b-TRAUMBRAIN_NONCONCUS","Weighted median",11,0.0839136985757978,0.0437546499617839,0.055133387265634,1.08753503393647,0.998156286382645,1.18491709782789
"ukb e 20523 AFR","finn-b-TRAUMBRAIN_NONCONCUS","Weighted mode",11,0.0790868535914709,0.100456054385662,0.449375787231994,1.08229831948434,0.888867575946144,1.31782245641233
"ukb e 20523 AFR","finn-b-TRAUMBRAIN_NONCONCUS","Simple mode",11,0.0869209830365769,0.0544657812288993,0.141599142898408,1.09081048378075,0.980363411327418,1.21370044799501
"ukb e 20523 CSA","finn-b-TRAUMBRAIN_NONCONCUS","Inverse variance weighted (fixed effects)",75,0.00912602785236414,0.0125932502758174,0.468650743319799,1.00916779701002,0.984563638379104,1.03438681139869
"ukb e 20523 CSA","finn-b-TRAUMBRAIN_NONCONCUS","MR Egger",75,0.0286742063764561,0.0280787857099199,0.310529572579476,1.02908926913273,0.973984184048187,1.08731203359226
"ukb e 20523 CSA","finn-b-TRAUMBRAIN_NONCONCUS","Weighted median",75,0.00572245668519037,0.0210794845749077,0.786029241570306,1.00573886121693,0.965032660554557,1.04816209679438
"ukb e 20523 CSA","finn-b-TRAUMBRAIN_NONCONCUS","Weighted mode",75,-0.0381671118942154,0.097893272563387,0.697741565886763,0.962552073549859,0.794503469499227,1.16614530944605
"ukb e 20523 CSA","finn-b-TRAUMBRAIN_NONCONCUS","Simple mode",75,0.053642727264355,0.0940998165108444,0.570362411641175,1.05510757363885,0.877399453514321,1.26880862244792
